total_bill,tip,sex,smoker,day,time,size
11.35,2.5,Female,Yes,Fri,Dinner,2
15.38,3.0,Female,Yes,Fri,Dinner,2
44.3,2.5,Female,Yes,Sat,Dinner,3
22.42,3.48,Female,Yes,Sat,Dinner,2
20.92,4.08,Female,No,Sat,Dinner,2
15.36,1.64,Male,Yes,Sat,Dinner,2
20.49,4.06,Male,Yes,Sat,Dinner,2
25.21,4.29,Male,Yes,Sat,Dinner,2
18.24,3.76,Male,No,Sat,Dinner,2
14.31,4.0,Female,Yes,Sat,Dinner,2
14.0,3.0,Male,No,Sat,Dinner,2
7.25,1.0,Female,No,Sat,Dinner,1
38.07,4.0,Male,No,Sun,Dinner,3
23.95,2.55,Male,No,Sun,Dinner,2
25.71,4.0,Female,No,Sun,Dinner,3
17.31,3.5,Female,No,Sun,Dinner,2
29.93,5.07,Male,No,Sun,Dinner,4
10.65,1.5,Female,No,Thur,Lunch,2
12.43,1.8,Female,No,Thur,Lunch,2
24.08,2.92,Female,No,Thur,Lunch,4
11.69,2.31,Male,No,Thur,Lunch,2
13.42,1.68,Female,No,Thur,Lunch,2
14.26,2.5,Male,No,Thur,Lunch,2
15.95,2.0,Male,No,Thur,Lunch,2
12.48,2.52,Female,No,Thur,Lunch,2
29.8,4.2,Female,No,Thur,Lunch,6
8.52,1.48,Male,No,Thur,Lunch,2
14.52,2.0,Female,No,Thur,Lunch,2
11.38,2.0,Female,No,Thur,Lunch,2
22.82,2.18,Male,No,Thur,Lunch,3
19.08,1.5,Male,No,Thur,Lunch,2
20.27,2.83,Female,No,Thur,Lunch,2
11.17,1.5,Female,No,Thur,Lunch,2
12.26,2.0,Female,No,Thur,Lunch,2
18.26,3.25,Female,No,Thur,Lunch,2
8.51,1.25,Female,No,Thur,Lunch,2
10.33,2.0,Female,No,Thur,Lunch,2
14.15,2.0,Female,No,Thur,Lunch,2
16.0,2.0,Male,Yes,Thur,Lunch,2
13.16,2.75,Female,No,Thur,Lunch,2
17.47,3.5,Female,No,Thur,Lunch,2
34.3,6.7,Male,No,Thur,Lunch,6
41.19,5.0,Male,No,Thur,Lunch,5
27.05,5.0,Female,No,Thur,Lunch,6
16.43,2.3,Female,No,Thur,Lunch,2
8.35,1.5,Female,No,Thur,Lunch,2
18.64,1.36,Female,No,Thur,Lunch,3
11.87,1.63,Female,No,Thur,Lunch,2
9.78,1.73,Male,No,Thur,Lunch,2
7.51,2.0,Male,No,Thur,Lunch,2
14.07,2.5,Male,No,Sun,Dinner,2
13.13,2.0,Male,No,Sun,Dinner,2
17.26,2.74,Male,No,Sun,Dinner,3
24.55,2.0,Male,No,Sun,Dinner,4
19.77,2.0,Male,No,Sun,Dinner,4
29.85,5.14,Female,No,Sun,Dinner,5
48.17,5.0,Male,No,Sun,Dinner,6
25.0,3.75,Female,No,Sun,Dinner,4
13.39,2.61,Female,No,Sun,Dinner,2
16.49,2.0,Male,No,Sun,Dinner,4
21.5,3.5,Male,No,Sun,Dinner,4
12.66,2.5,Male,No,Sun,Dinner,2
16.21,2.0,Female,No,Sun,Dinner,3
13.81,2.0,Male,No,Sun,Dinner,2
17.51,3.0,Female,Yes,Sun,Dinner,2
24.52,3.48,Male,No,Sun,Dinner,3
20.76,2.24,Male,No,Sun,Dinner,2
31.71,4.5,Male,No,Sun,Dinner,4
10.59,1.61,Female,Yes,Sat,Dinner,2
10.63,2.0,Female,Yes,Sat,Dinner,2
50.81,10.0,Male,Yes,Sat,Dinner,3
15.81,3.16,Male,Yes,Sat,Dinner,2
7.25,5.15,Male,Yes,Sun,Dinner,2
31.85,3.18,Male,Yes,Sun,Dinner,2
16.82,4.0,Male,Yes,Sun,Dinner,2
32.9,3.11,Male,Yes,Sun,Dinner,2
17.89,2.0,Male,Yes,Sun,Dinner,2
14.48,2.0,Male,Yes,Sun,Dinner,2
9.6,4.0,Female,Yes,Sun,Dinner,2
34.63,3.55,Male,Yes,Sun,Dinner,2
34.65,3.68,Male,Yes,Sun,Dinner,4
23.33,5.65,Male,Yes,Sun,Dinner,2
45.35,3.5,Male,Yes,Sun,Dinner,3
23.17,6.5,Male,Yes,Sun,Dinner,4
40.55,3.0,Male,Yes,Sun,Dinner,2
20.69,5.0,Male,No,Sun,Dinner,5
20.9,3.5,Female,Yes,Sun,Dinner,3
30.46,2.0,Male,Yes,Sun,Dinner,5
18.15,3.5,Female,Yes,Sun,Dinner,3
23.1,4.0,Male,Yes,Sun,Dinner,3
15.69,1.5,Male,Yes,Sun,Dinner,2
19.81,4.19,Female,Yes,Thur,Lunch,2
28.44,2.56,Male,Yes,Thur,Lunch,2
15.48,2.02,Male,Yes,Thur,Lunch,2
16.58,4.0,Male,Yes,Thur,Lunch,2
7.56,1.44,Male,No,Thur,Lunch,2
10.34,2.0,Male,Yes,Thur,Lunch,2
43.11,5.0,Female,Yes,Thur,Lunch,4
13.0,2.0,Female,Yes,Thur,Lunch,2
13.51,2.0,Male,Yes,Thur,Lunch,2
18.71,4.0,Male,Yes,Thur,Lunch,3
12.74,2.01,Female,Yes,Thur,Lunch,2
13.0,2.0,Female,Yes,Thur,Lunch,2
16.4,2.5,Female,Yes,Thur,Lunch,2
20.53,4.0,Male,Yes,Thur,Lunch,4
16.47,3.23,Female,Yes,Thur,Lunch,3
26.59,3.41,Male,Yes,Sat,Dinner,3
38.73,3.0,Male,Yes,Sat,Dinner,4
24.27,2.03,Male,Yes,Sat,Dinner,2
12.76,2.23,Female,Yes,Sat,Dinner,2
30.06,2.0,Male,Yes,Sat,Dinner,3
25.89,5.16,Male,Yes,Sat,Dinner,4
48.33,9.0,Male,No,Sat,Dinner,4
13.27,2.5,Female,Yes,Sat,Dinner,2
28.17,6.5,Female,Yes,Sat,Dinner,3
12.9,1.1,Female,Yes,Sat,Dinner,2
28.15,3.0,Male,Yes,Sat,Dinner,5
11.59,1.5,Male,Yes,Sat,Dinner,2
7.74,1.44,Male,Yes,Sat,Dinner,2
30.14,3.09,Female,Yes,Sat,Dinner,4
12.16,2.2,Male,Yes,Fri,Lunch,2
13.42,3.48,Female,Yes,Fri,Lunch,2
8.58,1.92,Male,Yes,Fri,Lunch,1
15.98,3.0,Female,No,Fri,Lunch,3
13.42,1.58,Male,Yes,Fri,Lunch,2
16.27,2.5,Female,Yes,Fri,Lunch,2
10.09,2.0,Female,Yes,Fri,Lunch,2
20.45,3.0,Male,No,Sat,Dinner,4
13.28,2.72,Male,No,Sat,Dinner,2
22.12,2.88,Female,Yes,Sat,Dinner,2
24.01,2.0,Male,Yes,Sat,Dinner,4
15.69,3.0,Male,Yes,Sat,Dinner,3
11.61,3.39,Male,No,Sat,Dinner,2
10.77,1.47,Male,No,Sat,Dinner,2
15.53,3.0,Male,Yes,Sat,Dinner,2
10.07,1.25,Male,No,Sat,Dinner,2
12.6,1.0,Male,Yes,Sat,Dinner,2
32.83,1.17,Male,Yes,Sat,Dinner,2
35.83,4.67,Female,No,Sat,Dinner,3
29.03,5.92,Male,No,Sat,Dinner,3
27.18,2.0,Female,Yes,Sat,Dinner,2
22.67,2.0,Male,Yes,Sat,Dinner,2
17.82,1.75,Male,No,Sat,Dinner,2
18.78,3.0,Female,No,Thur,Dinner,2
68.41017404156185,5.664083496183806,Male,No,Sat,Dinner,8
30.42325430677637,4.607214592571106,Male,No,Sun,Dinner,8
19.92971556459178,3.1538131105219507,Female,No,Thur,Lunch,2
11.341102195846219,1.260834829381309,Male,No,Sun,Dinner,4
68.69254507750175,5.53698348051531,Male,No,Sun,Dinner,6
18.382195041770476,4.462434559670609,Female,Yes,Sun,Dinner,3
19.024475817626456,3.936024983503403,Female,Yes,Sat,Dinner,4
10.575001746506308,2.381177247364742,Male,Yes,Thur,Lunch,2
65.22889687148907,8.89376982642473,Male,Yes,Sat,Dinner,6
35.63158236597359,5.598676094048413,Male,No,Sun,Dinner,4
32.96087986086295,1.6048106590496307,Female,Yes,Sat,Dinner,4
46.7482175444461,6.646758695612775,Male,No,Thur,Lunch,12
11.605717051497228,2.5519852276911625,Male,Yes,Sat,Dinner,2
19.433645817767218,6.597157621071112,Female,No,Sun,Dinner,8
18.08189548108855,1.1778791734512803,Female,Yes,Sat,Dinner,2
22.432238142213908,3.134758131464536,Male,No,Sun,Dinner,2
10.62542043862487,1.2167888703537617,Male,Yes,Thur,Lunch,4
7.5196920812545915,1.4688774098816677,Male,No,Sat,Dinner,2
7.876201622785496,2.507622410758659,Female,No,Thur,Lunch,2
11.817816815635476,1.7144995759665278,Male,No,Sat,Dinner,4
15.09477600612732,3.8866713082609885,Male,No,Sun,Dinner,4
5.026072054969878,2.5122860713521535,Male,No,Thur,Lunch,4
18.29900321175501,3.8314275327549483,Female,No,Sun,Dinner,5
16.83798668143632,5.945290313622333,Male,Yes,Sat,Dinner,4
8.458017404365004,2.4852251578780415,Female,Yes,Fri,Dinner,2
27.762978458535137,3.3270142955181714,Female,No,Sat,Dinner,4
7.495461654195398,3.1945052326066885,Female,No,Sat,Dinner,4
11.097689406674133,1.385557916649533,Female,No,Thur,Lunch,2
18.362940482368174,2.3445357566377063,Male,Yes,Thur,Lunch,4
45.71230358967414,1.1037639464380429,Male,Yes,Sat,Dinner,4
42.391453716404044,2.6272148285152332,Male,Yes,Sun,Dinner,10
21.49141411929733,2.528336062103254,Female,No,Sun,Dinner,6
32.504354876022305,5.747655004535159,Male,No,Sat,Dinner,3
8.59497171239165,3.0519417276849077,Female,No,Sat,Dinner,6
4.374790543027866,5.3404688999459635,Male,Yes,Sun,Dinner,2
10.396498892450968,2.213854923117192,Male,Yes,Thur,Lunch,2
21.938487080316815,2.701773826106029,Female,Yes,Sat,Dinner,2
18.107860670680342,2.2252181520354473,Male,Yes,Sun,Dinner,2
16.43531462260226,3.573282486469652,Female,No,Sun,Dinner,4
46.808126980286694,5.797219935151417,Female,No,Thur,Lunch,4
20.570792531396194,2.7286710585122336,Female,No,Sun,Dinner,2
13.392614469148997,2.9976020418257976,Male,No,Sat,Dinner,6
44.149627500863005,10.001863141775518,Male,No,Sat,Dinner,4
24.31651026703161,3.0274855713901747,Male,No,Sat,Dinner,4
13.507107065961128,3.674039877461605,Female,No,Thur,Lunch,4
8.085559421986378,2.6166644807150905,Female,Yes,Thur,Lunch,4
21.33908779347664,1.8528725605143543,Male,No,Sun,Dinner,8
23.890718994868227,2.495296745963846,Male,Yes,Sat,Dinner,6
6.235453010625165,2.6879575503372655,Female,No,Thur,Lunch,2
18.362003548451035,2.1359923090857973,Male,No,Sat,Dinner,8
31.08449467523349,3.4453943842374852,Male,Yes,Thur,Lunch,4
27.87697922957237,6.599441056730853,Female,No,Thur,Lunch,6
23.424852325741462,2.6539885291142324,Male,No,Sun,Dinner,4
3.8338527903093587,2.120656702782581,Male,No,Thur,Lunch,2
10.602755951239846,1.1569483730160728,Female,No,Thur,Lunch,4
17.963028567661656,2.4971667012965857,Male,Yes,Sun,Dinner,2
22.23885093441639,1.5689406721725674,Female,No,Sun,Dinner,4
10.974894538647701,3.448159736671197,Female,No,Fri,Lunch,3
13.759812279185494,1.4475995178394336,Male,No,Sat,Dinner,6
17.94742702316196,2.725064499684307,Female,No,Thur,Dinner,2
16.38002113377665,3.73475090985615,Female,No,Sun,Dinner,2
9.628979519650533,3.1791414038996266,Female,Yes,Sat,Dinner,4
13.591812838620083,1.217984686398269,Female,No,Thur,Lunch,4
10.377234937427952,2.512449033430066,Female,Yes,Sat,Dinner,4
50.14419181197465,12.56096675661636,Male,Yes,Sat,Dinner,6
30.481993381229675,2.8182016553084006,Male,Yes,Sat,Dinner,8
19.91834535851452,4.396862272656806,Male,No,Sun,Dinner,6
12.766522294731491,4.2203185019447,Male,No,Sat,Dinner,3
22.802343243212064,1.7673554741018458,Male,No,Sat,Dinner,8
15.500926488046328,4.896964602366085,Male,Yes,Thur,Lunch,4
12.97368121851012,2.218696298532171,Female,No,Thur,Lunch,2
13.199209686581655,3.6904195433881295,Male,No,Sat,Dinner,4
17.027025096656878,4.525078153073004,Female,No,Thur,Lunch,4
13.888984632847729,5.217516323381027,Male,Yes,Sat,Dinner,4
12.83623367732033,1.6102416722301656,Female,Yes,Sat,Dinner,2
54.36428418267236,3.9105623928369986,Female,Yes,Thur,Lunch,8
34.92927374901016,2.6373063328214563,Male,No,Sun,Dinner,6
10.441848445100389,1.8475041648685693,Male,Yes,Sat,Dinner,4
22.762933541385234,3.291896221115095,Female,No,Thur,Lunch,4
7.125141114583072,1.0363059838772453,Male,Yes,Thur,Lunch,4
21.022821301958082,1.8157326369606763,Female,No,Sat,Dinner,3
2.2688472070185,0.8380952126036734,Female,Yes,Sat,Dinner,1
6.146247237570015,1.0582820088603817,Male,No,Sat,Dinner,2
8.315937450325364,0.6453058632314559,Male,No,Sat,Dinner,2
23.883361217352622,5.013974984275048,Male,Yes,Sat,Dinner,3
8.189110087437792,2.5740361217782803,Male,No,Sat,Dinner,6
10.008323750188652,2.2721856436774357,Male,No,Sat,Dinner,2
8.002298611446415,1.0227059985454392,Female,No,Thur,Lunch,2
11.726658264734452,2.246411477724998,Male,Yes,Thur,Lunch,2
34.403279245041034,3.084833485848293,Male,Yes,Sat,Dinner,4
17.36299883634801,0.9950281645013869,Female,Yes,Sat,Dinner,4
13.634124056957358,2.952869823211447,Male,No,Sat,Dinner,8
11.597941810349013,1.3510328447195024,Male,Yes,Sun,Dinner,4
32.94529790394243,2.800310064359641,Male,Yes,Sat,Dinner,4
25.391105066837742,2.54431949074916,Male,No,Sun,Dinner,2
13.953307263989918,3.9339631331447382,Male,Yes,Sat,Dinner,4
28.66019473988082,8.169650329569402,Male,Yes,Sun,Dinner,4
28.767634738890187,1.9104469305036071,Female,Yes,Sat,Dinner,4
12.110176502853628,2.7180439881758804,Male,No,Sat,Dinner,4
25.63271677348026,5.3345221357738755,Male,No,Thur,Lunch,2
17.10173816674648,1.8102156939631437,Female,Yes,Sat,Dinner,2
25.352482073210528,4.3365003311560955,Male,Yes,Thur,Lunch,6
22.41992851305121,3.645465047972477,Female,No,Sun,Dinner,3
20.085435687540087,6.702216559071721,Male,Yes,Sat,Dinner,4
42.260552633491066,3.2368989950792644,Female,No,Sun,Dinner,8
7.242006033068862,2.6052823979672324,Male,No,Sun,Dinner,2
20.058025284904485,2.388941488475158,Male,Yes,Thur,Lunch,2
21.758060594589097,3.87484257464977,Male,No,Sun,Dinner,3
18.740897557086157,1.3085282896799137,Male,No,Sun,Dinner,4
22.02307219204084,3.809450297290441,Male,No,Sun,Dinner,6
17.521699192565606,1.3255386616322122,Male,No,Sun,Dinner,4
10.54850950532619,1.6809451705524068,Female,No,Sat,Dinner,8
17.687148879721853,2.2448030566619623,Female,No,Thur,Lunch,2
29.20857310979981,3.9576323699524583,Male,No,Sat,Dinner,3
17.058241971916257,1.643282530359968,Male,Yes,Thur,Lunch,4
23.835452527849988,3.571210087750427,Male,Yes,Thur,Lunch,2
23.963452312593784,2.644244610860036,Male,No,Sat,Dinner,2
37.988414682297915,1.639836621709591,Male,Yes,Sun,Dinner,4
24.132110761989782,2.0612528932361003,Male,Yes,Thur,Lunch,2
10.70338215784337,2.3570038524609913,Female,No,Sat,Dinner,2
18.591934573802966,1.6766382370294215,Male,Yes,Sat,Dinner,3
24.866486460307662,2.382715263839487,Female,No,Sat,Dinner,2
17.362616188297913,2.6963700617815856,Female,Yes,Thur,Lunch,2
6.397749974915961,2.465754884385196,Male,No,Sun,Dinner,3
12.14377523300165,1.7583823510034162,Male,No,Thur,Lunch,4
14.897680941226337,4.118268047571513,Male,Yes,Sat,Dinner,8
17.434973715567388,1.6137095495540947,Male,Yes,Thur,Lunch,2
14.45276816860521,1.172385907445917,Male,No,Thur,Lunch,2
17.675402406715243,1.4642962900720555,Female,No,Sun,Dinner,3
23.310391494355546,3.449810136005916,Male,No,Sun,Dinner,2
27.309592249493285,4.0546947932247175,Male,No,Sun,Dinner,4
13.84970318606375,1.0593802767395846,Male,No,Sat,Dinner,4
10.350810470508119,1.5758654312291631,Female,No,Thur,Lunch,2
15.776501994830385,1.7921790571335132,Female,No,Thur,Lunch,4
8.660288357603337,5.711181831747572,Male,Yes,Sun,Dinner,2
17.986589421178774,3.089967259196501,Male,No,Thur,Lunch,2
7.2129343989657615,3.112652221631245,Female,Yes,Sat,Dinner,2
19.00499258811584,2.832475430311325,Female,Yes,Thur,Lunch,2
7.539199943888834,1.5891122764673014,Male,No,Sun,Dinner,4
21.34833090158942,1.1247019770228244,Male,No,Sun,Dinner,2
29.110422392235872,4.718153199959614,Male,Yes,Sun,Dinner,2
10.599378665332733,4.009702817780893,Female,No,Thur,Lunch,2
17.67821116014212,5.2090851472943065,Female,No,Sat,Dinner,2
20.291605411836855,3.960284774808137,Male,No,Sat,Dinner,2
15.751982688154479,1.6971193482261642,Female,No,Thur,Lunch,2
31.216277478869696,3.8100132998840697,Female,No,Thur,Lunch,4
24.1663713499981,3.9256726267574775,Female,Yes,Sat,Dinner,6
18.906056218229338,5.579841717520406,Female,No,Thur,Lunch,8
18.94091107520383,2.920021996609862,Female,No,Thur,Lunch,4
7.819680483271414,1.8589717322681594,Male,Yes,Sat,Dinner,4
14.698571939443125,1.9521194597679086,Male,Yes,Thur,Lunch,2
8.967860682742437,1.0585280748097268,Female,No,Thur,Lunch,2
37.8222588586323,2.3154829820081453,Male,Yes,Sat,Dinner,6
14.248095566177648,2.6590825361051493,Female,No,Thur,Lunch,2
20.781658782603362,2.535286493752262,Male,Yes,Sun,Dinner,2
13.049579412258172,1.4517816257105143,Female,No,Sun,Dinner,4
4.498251796329118,1.6509889943353118,Male,No,Sun,Dinner,4
24.84110775853685,2.9653626038582344,Male,Yes,Sat,Dinner,8
9.264995131844325,1.6303601253289965,Female,No,Thur,Lunch,2
7.25095811226442,1.5300224354255483,Male,No,Thur,Lunch,2
40.81572585708409,6.5426644596461845,Female,No,Sun,Dinner,4
14.891384052308203,2.1739001472129034,Male,No,Thur,Lunch,2
18.874884253551553,1.467685759353926,Female,No,Sat,Dinner,4
8.666930961736586,0.7695559629669693,Female,No,Thur,Lunch,2
18.57676618319935,3.6656521913399045,Male,Yes,Sun,Dinner,4
20.125371545267345,2.5864614476721064,Female,No,Thur,Lunch,4
27.803030938253972,4.427775340882257,Male,No,Sun,Dinner,4
8.83486735892477,2.651150445603818,Male,No,Sat,Dinner,6
49.05917783738027,5.477747766604461,Male,No,Thur,Lunch,12
14.603904927538085,4.399488572079462,Male,No,Sun,Dinner,6
26.777750543301067,3.0662785731980606,Female,No,Sat,Dinner,4
22.262941083917998,1.9382587577800288,Female,No,Fri,Lunch,6
16.40821345510904,1.919840009874643,Male,No,Sun,Dinner,4
25.92952657397713,3.2527144914800843,Male,Yes,Thur,Lunch,2
6.602890840273984,2.532455837530672,Female,Yes,Fri,Dinner,4
23.439380083503792,2.04455683112665,Male,No,Sat,Dinner,3
14.877232352142972,2.8756903563849763,Female,Yes,Sat,Dinner,4
15.64143103769702,2.2143774088890913,Male,No,Sat,Dinner,6
8.615186002638017,3.8438663291572777,Female,Yes,Sun,Dinner,4
29.895048112244673,1.769183549858546,Male,No,Sat,Dinner,6
17.249846601039312,1.0412519471539186,Female,No,Sun,Dinner,3
27.913135523134763,5.703187698718804,Male,No,Sun,Dinner,4
14.42526902698757,2.1606817995862584,Male,No,Thur,Lunch,4
17.06543791935818,5.125284785338336,Female,No,Sun,Dinner,8
41.12622759416108,7.283726630061504,Male,No,Thur,Lunch,6
10.865406195596515,1.1029042224845265,Male,No,Thur,Lunch,2
20.969297677555723,2.0607329768447764,Male,No,Sun,Dinner,6
11.59661403924745,3.1113001604580433,Female,No,Sat,Dinner,4
9.911059561757797,2.7807567525765133,Female,No,Sun,Dinner,3
12.061062425148291,2.790786048665047,Male,Yes,Sun,Dinner,2
11.382976357267983,0.8598590118938068,Male,No,Sun,Dinner,4
7.133956778784055,1.814411449782631,Male,No,Sat,Dinner,4
14.193321774274953,1.5032402894275305,Male,Yes,Sat,Dinner,2
37.177907042910185,3.90493827757334,Female,No,Sun,Dinner,8
18.492947195244465,1.581621344036572,Male,Yes,Sat,Dinner,8
12.148828989677273,1.5316861238174218,Male,No,Sun,Dinner,2
13.8079565279868,3.732763643048551,Female,No,Sat,Dinner,3
26.198090271609924,5.329071535154964,Male,No,Sun,Dinner,8
9.727738199261617,2.4010983694014536,Male,No,Sun,Dinner,2
10.948144046711361,4.170774463010176,Male,No,Sat,Dinner,4
22.505621645245906,2.548683381869221,Female,Yes,Sat,Dinner,6
15.651969959721885,1.8268168344255669,Female,No,Thur,Lunch,4
15.350090810953848,2.6869233182802956,Female,Yes,Sat,Dinner,4
39.56344323588267,2.5808434449497546,Female,No,Sun,Dinner,5
40.0422275788382,3.8106791530343322,Male,No,Thur,Lunch,12
17.676667749112706,3.8719574702170565,Male,No,Sat,Dinner,8
8.309889054095493,0.8490698752070658,Female,No,Thur,Lunch,4
20.387911565820765,2.095223526300486,Female,No,Thur,Lunch,4
55.20972327035496,2.889844321909802,Male,Yes,Sat,Dinner,4
7.412403753997425,1.9719052729069795,Male,No,Sat,Dinner,2
12.93937736375727,2.8707684613028617,Male,No,Sun,Dinner,4
9.845785182383413,3.662476877514525,Male,Yes,Thur,Lunch,4
11.065004297338131,1.8010828939259418,Male,No,Thur,Lunch,4
7.060148954197169,0.8526839784816914,Female,Yes,Sat,Dinner,2
17.203881441378332,1.9300944793477772,Male,Yes,Sat,Dinner,2
37.612713951154205,4.0668478250182165,Male,Yes,Sat,Dinner,8
11.985400584774037,5.594748120797749,Male,Yes,Sun,Dinner,4
20.60323430383041,2.263771583825034,Male,Yes,Sat,Dinner,2
12.668125355021814,3.5788743808960652,Male,No,Sat,Dinner,3
18.15839150236893,4.447650647378048,Male,Yes,Thur,Lunch,4
19.07193459214921,1.9302151443036837,Male,No,Sat,Dinner,8
34.66330255822058,6.180537735190978,Male,Yes,Sat,Dinner,3
31.943679144575476,3.8628225733795505,Male,Yes,Sat,Dinner,6
28.878442182771725,2.9695944578056808,Male,No,Sat,Dinner,4
21.12685350237967,3.7311448487200796,Female,No,Sat,Dinner,2
16.91338069274978,3.5438204469109214,Female,Yes,Thur,Lunch,6
6.045079118072488,1.1732895650769883,Male,No,Sun,Dinner,4
24.031945740453946,3.2634512035664613,Male,Yes,Fri,Dinner,2
8.325694073906549,1.3103728121524527,Male,No,Sat,Dinner,4
19.43668725166152,1.071599146271087,Male,Yes,Sat,Dinner,4
7.603057340155613,2.0388975173001325,Female,Yes,Fri,Lunch,4
12.991758489492444,2.5266820910342744,Male,No,Sun,Dinner,4
9.400345854526073,4.698977991770126,Female,Yes,Thur,Lunch,3
19.990021243045685,1.1969203918344695,Male,Yes,Sat,Dinner,8
25.512041284231515,2.3987597961565634,Male,No,Sat,Dinner,3
10.638106473328364,3.6044106903876196,Female,No,Thur,Lunch,4
18.323162234154882,3.3882239880434053,Male,No,Sun,Dinner,8
